GeneID	BRO_1_ANAMMOX	BRO_2_ANAMMOX	BRO_1_SP_ELECTRODE	BRO_2_SP_ELECTRODE
PROKKA_20171	48	85	9	31
PROKKA_20172	24	50	9	12
PROKKA_20173	169	251	31	72
PROKKA_20174	184	307	39	70
PROKKA_20175	414	680	597	1023
PROKKA_20176	78	110	8	20
PROKKA_20177	52	44	2	37
PROKKA_20178	44	63	8	21
PROKKA_20179	461	9486	13897	5752
PROKKA_20182	391	573	144	208
PROKKA_20183	214	418	30	42
PROKKA_20184	77	104	29	90
PROKKA_20186	541	1008	345	591
PROKKA_20187	86	198	23	36
PROKKA_20188	189	421	116	91
PROKKA_20189	873	1768	910	882
PROKKA_20190	179	310	41	76
PROKKA_20191	329	540	100	154
PROKKA_20192	160	289	58	81
PROKKA_20193	616	1032	258	342
PROKKA_20194	752	1402	599	724
PROKKA_20195	62	155	47	63
PROKKA_20197	599	1132	138	297
PROKKA_20198	1110	2154	532	623
PROKKA_20199	392	613	163	178
PROKKA_20200	368	758	255	258
PROKKA_20201	63	103	38	42
PROKKA_20202	66	120	32	52
PROKKA_20203	25	21	4	10
PROKKA_20204	57	70	23	59
PROKKA_20205	15	23	7	7
PROKKA_20206	39	71	13	52
PROKKA_20207	21	17	6	9
PROKKA_20208	28	33	8	6
PROKKA_20209	345	626	46	81
PROKKA_20210	916	1686	525	391
PROKKA_20211	114	170	21	37
PROKKA_20212	19	60	5	2
PROKKA_20213	151	298	159	127
PROKKA_20214	20	34	11	21
PROKKA_20215	262	663	195	220
PROKKA_20216	832	1403	110	160
PROKKA_20217	853	1464	262	243
PROKKA_20218	224	467	65	70
PROKKA_20219	2489	4154	614	558
PROKKA_20220	72	116	4	21
PROKKA_20221	497	724	52	124
PROKKA_20222	152	278	11	20
PROKKA_20223	45	71	17	18
PROKKA_20224	227	320	116	160
PROKKA_20225	6	12	8	8
PROKKA_20226	27	37	3	10
PROKKA_20227	68	100	27	23
PROKKA_20228	262	415	137	151
PROKKA_20229	196	281	74	97
PROKKA_20230	1746	2760	501	439
PROKKA_20231	77	101	21	44
PROKKA_20232	229	443	197	337
PROKKA_20233	982	1659	993	1338
PROKKA_20234	238	384	64	104
PROKKA_20235	139	238	74	126
PROKKA_20236	45	87	22	29
PROKKA_20237	170	255	54	92
PROKKA_20238	90	138	33	57
PROKKA_20239	56	88	31	32
PROKKA_20240	359	512	97	226
PROKKA_20241	817	1475	224	375
PROKKA_20242	217	347	111	136
PROKKA_20243	141	248	29	63
PROKKA_20244	494	845	80	83
PROKKA_20245	472	889	144	184
PROKKA_20246	1243	2364	604	498
PROKKA_20247	77	86	14	13
PROKKA_20248	94	197	5	13
PROKKA_20249	203	426	26	40
PROKKA_20250	371	788	142	183
PROKKA_20251	79	146	9	12
PROKKA_20252	2082	3927	835	631
PROKKA_20253	581	1121	125	128
PROKKA_20254	166	269	13	28
PROKKA_20255	1221	2397	365	222
PROKKA_20256	582	941	91	100
PROKKA_20257	356	684	114	117
PROKKA_20258	417	566	68	124
PROKKA_20259	12	15	1	4
PROKKA_20260	50	73	11	20
PROKKA_20261	72	140	29	24
PROKKA_20262	87	124	46	81
PROKKA_20263	147	234	44	71
PROKKA_20264	17	26	3	8
PROKKA_20265	608	1019	367	565
PROKKA_20266	173	320	38	57
PROKKA_20267	85	171	17	46
PROKKA_20268	910	1651	272	373
PROKKA_20269	538	1035	140	169
PROKKA_20270	21	54	1	8
PROKKA_20271	409	719	101	111
PROKKA_20272	94	185	22	35
PROKKA_20273	188	330	52	43
PROKKA_20274	38	53	14	11
PROKKA_20275	102	208	45	54
PROKKA_20276	805	1459	191	141
PROKKA_20277	48	70	3	12
PROKKA_20278	205	424	54	53
PROKKA_20279	96	218	65	76
PROKKA_20280	32	31	9	13
PROKKA_20281	144	262	50	66
PROKKA_20282	105	190	10	16
PROKKA_20283	102	158	11	9
PROKKA_20284	111	230	13	20
PROKKA_20285	1206	2231	325	290
PROKKA_20286	268	441	37	52
PROKKA_20287	77	172	37	34
PROKKA_20288	65	98	17	36
PROKKA_20289	83	154	31	35
PROKKA_20290	227	310	146	330
PROKKA_20291	276	539	100	117
PROKKA_20292	87	162	39	27
PROKKA_20293	842	1543	173	139
PROKKA_20294	54	58	10	15
PROKKA_20295	225	400	48	53
PROKKA_20296	111	199	56	91
PROKKA_20297	36	26	10	18
PROKKA_20298	172	293	51	55
PROKKA_20299	119	179	16	25
PROKKA_20300	86	146	11	19
PROKKA_20301	128	210	16	26
PROKKA_20302	1254	2289	343	278
PROKKA_20303	289	476	62	66
PROKKA_20304	104	165	43	37
PROKKA_20305	61	104	20	33
PROKKA_20306	81	159	29	40
PROKKA_20307	231	331	134	333
PROKKA_20308	1213	2092	274	262
PROKKA_20309	77	87	21	36
PROKKA_20310	241	424	66	143
PROKKA_20311	251	382	97	159
PROKKA_20312	582	1048	229	313
PROKKA_20313	27	38	8	15
PROKKA_20315	1778	3172	1271	1497
PROKKA_20316	495	765	210	311
PROKKA_20317	94	125	22	34
PROKKA_20318	1035	2139	681	678
PROKKA_20319	381	617	85	107
PROKKA_20320	368	699	102	130
PROKKA_20321	587	1006	198	258
PROKKA_20322	324	476	72	79
PROKKA_20323	530	1027	181	191
PROKKA_20324	305	566	79	157
PROKKA_20325	47	82	15	15
PROKKA_20326	236	407	108	108
PROKKA_20327	1839	3474	1045	1319
PROKKA_20328	343	626	46	74
PROKKA_20329	162	225	13	37
PROKKA_20330	3563	8422	3045	2086
PROKKA_20331	136	267	9	15
PROKKA_20332	332	534	32	60
PROKKA_20333	338	596	57	67
PROKKA_20334	310	529	78	93
PROKKA_20335	656	1126	113	141
PROKKA_20336	1027	1798	215	320
PROKKA_20337	839	1308	95	187
PROKKA_20338	418	607	182	220
PROKKA_20339	67	64	7	34
PROKKA_20340	195	318	27	68
PROKKA_20341	114	199	42	44
PROKKA_20342	172	317	100	99
PROKKA_20343	226	336	107	222
PROKKA_20344	5	3	1	8
PROKKA_20346	269	393	20	26
PROKKA_20347	49	105	10	8
PROKKA_20348	41	80	8	15
PROKKA_20349	121	196	53	94
PROKKA_20350	177	319	47	71
PROKKA_20351	13	8	6	13
PROKKA_20352	8	17	6	10
PROKKA_20353	104	216	26	22
PROKKA_20354	17	28	6	14
PROKKA_20355	10	6	6	8
PROKKA_20356	28	41	6	9
PROKKA_20357	27	24	25	43
PROKKA_20358	2	11	3	2
PROKKA_20359	22	33	11	23
PROKKA_20360	39	43	13	20
PROKKA_20361	11	34	4	1
PROKKA_20362	32	33	3	10
PROKKA_20363	19	39	16	15
PROKKA_20364	48	80	8	20
PROKKA_20365	315	512	101	117
PROKKA_20366	21	34	11	15
PROKKA_20367	211	313	20	28
PROKKA_20368	14	20	3	41
PROKKA_20369	119	196	18	26
PROKKA_20370	207	329	59	105
PROKKA_20371	123	206	24	42
PROKKA_20372	553	883	135	197
PROKKA_20373	1976	3288	812	817
PROKKA_20374	266	462	163	141
PROKKA_20375	384	578	132	128
PROKKA_20376	42	64	13	46
PROKKA_20377	500	817	124	122
PROKKA_20378	267	454	70	63
PROKKA_203783	12	23	4	5
PROKKA_20379	386	714	112	135
PROKKA_20380	2415	4451	998	653
PROKKA_20381	1606	2722	1097	1287
PROKKA_20382	18	7	3	16
PROKKA_20383	176	244	11	31
PROKKA_20384	157	228	11	16
PROKKA_20385	419	811	89	75
PROKKA_20386	54	69	12	19
PROKKA_20387	191	348	71	126
PROKKA_20388	66	125	25	49
PROKKA_20389	143	244	44	47
PROKKA_20390	263	398	79	89
PROKKA_20391	840	1513	309	770
PROKKA_20392	1231	1869	1203	1697
PROKKA_20393	306	546	245	210
PROKKA_20394	148	255	71	76
PROKKA_20395	110	203	57	73
PROKKA_20396	156	279	57	78
PROKKA_20397	245	509	208	144
PROKKA_20398	217	369	107	128
PROKKA_20399	494	858	213	272
PROKKA_20400	544	1005	151	182
PROKKA_20401	655	1025	234	192
PROKKA_20402	561	912	113	104
PROKKA_20403	288	453	61	81
PROKKA_20404	26	62	17	25
PROKKA_20405	35	1	1	12
PROKKA_20406	209	351	47	107
PROKKA_20407	194	410	36	44
PROKKA_20408	273	526	134	126
PROKKA_20409	150	233	32	44
PROKKA_20410	219	383	32	31
PROKKA_20411	63	102	25	30
PROKKA_20412	247	440	56	71
PROKKA_20413	284	495	140	276
PROKKA_20414	149	226	27	35
PROKKA_20415	540	1006	144	267
PROKKA_20416	349	684	113	97
PROKKA_20417	457	749	157	130
PROKKA_20418	294	509	178	196
PROKKA_20419	4744	7992	640	1017
PROKKA_20420	9275	17348	2501	1853
PROKKA_20421	4626	7861	762	702
PROKKA_20422	1365	2511	228	292
PROKKA_20423	283	496	877	1404
PROKKA_20424	185	357	143	202
PROKKA_20425	69	99	21	44
PROKKA_20426	164	376	172	205
PROKKA_20427	423	734	295	349
PROKKA_20428	286	401	123	143
PROKKA_20429	232	395	150	257
PROKKA_20430	59	186	12	26
PROKKA_20431	133	229	15	35
PROKKA_20432	1445	2762	365	436
PROKKA_20433	147	217	33	38
PROKKA_20434	22	28	7	7
PROKKA_20435	14	19	3	7
PROKKA_20436	55	46	6	16
PROKKA_20437	81	127	23	27
PROKKA_20438	13	18	0	2
PROKKA_20439	46	46	4	12
PROKKA_20441	273	457	84	152
PROKKA_20442	90	170	58	54
PROKKA_20443	499	988	270	373
PROKKA_20444	1426	2324	758	1193
PROKKA_20445	56	64	8	32
PROKKA_20446	74	157	12	24
PROKKA_20447	516	882	56	89
PROKKA_20448	81	107	29	165
PROKKA_20449	265	381	271	441
PROKKA_20450	55	69	30	35
PROKKA_20451	135	243	84	60
PROKKA_20452	57	72	22	51
PROKKA_20453	246	374	171	241
PROKKA_20454	1649	3009	808	962
PROKKA_20455	232	294	38	110
PROKKA_20456	192	476	210	140
PROKKA_20457	1393	2613	584	588
PROKKA_20458	140	221	35	37
PROKKA_20459	88	150	20	23
PROKKA_20460	178	316	59	55
PROKKA_20461	61	125	31	46
PROKKA_20462	340	423	67	120
PROKKA_20463	411	668	49	64
PROKKA_20464	122	221	16	20
PROKKA_20465	7	21	4	0
PROKKA_20466	82	158	17	23
PROKKA_20467	964	1653	150	194
PROKKA_20468	4009	8242	1247	616
PROKKA_20469	2360	4368	592	393
PROKKA_20470	82	169	16	10
PROKKA_20471	15	34	3	4
PROKKA_20472	25	35	8	8
PROKKA_20473	40	53	27	31
PROKKA_20474	11	15	0	3
PROKKA_20475	62	97	20	34
PROKKA_20476	28	44	17	19
PROKKA_20477	43	44	8	20
PROKKA_20478	25	59	9	15
PROKKA_20479	12	14	7	3
PROKKA_20480	200	279	119	143
PROKKA_20481	278	542	56	114
PROKKA_20482	246	468	218	174
PROKKA_20483	168	278	67	62
PROKKA_20484	174	286	37	32
PROKKA_20485	38	59	8	10
PROKKA_20486	394	684	227	455
PROKKA_20487	164	286	59	102
PROKKA_20488	525	923	204	309
PROKKA_20489	155	298	31	55
PROKKA_20490	117	166	14	31
PROKKA_20491	695	1022	109	189
PROKKA_20492	1803	2996	516	556
PROKKA_20493	610	972	204	233
PROKKA_20494	613	996	148	195
PROKKA_20495	638	1146	207	255
PROKKA_20496	1568	2720	531	762
PROKKA_20497	136	194	39	91
PROKKA_20498	12	9	1	8
PROKKA_20499	58	62	27	57
PROKKA_20500	60	91	30	31
PROKKA_20501	99	161	16	36
PROKKA_20502	49	42	10	8
PROKKA_20503	135	153	9	27
PROKKA_20504	420	1057	49	66
PROKKA_20505	432	825	92	77
PROKKA_20506	81	118	14	18
PROKKA_20507	174	268	24	45
PROKKA_20508	159	201	9	23
PROKKA_20509	163	211	23	59
PROKKA_20510	314	567	143	266
PROKKA_20511	299	455	103	175
PROKKA_20512	834	1628	365	369
PROKKA_20513	102	145	22	12
PROKKA_20514	62	77	4	11
PROKKA_20515	144	244	22	46
PROKKA_20516	310	451	32	56
PROKKA_20517	184	297	34	61
PROKKA_20518	3964	6290	1393	2052
PROKKA_20521	59	114	93	93
PROKKA_20522	40	77	36	27
PROKKA_20523	117	215	32	52
PROKKA_20525	7	3	5	7
PROKKA_20526	522	954	183	146
PROKKA_20527	132	248	26	36
PROKKA_20528	199	392	38	21
PROKKA_20529	25	35	2	5
PROKKA_20530	420	697	171	165
PROKKA_20531	94	154	21	18
PROKKA_20532	72	115	7	18
PROKKA_20533	274	478	46	86
PROKKA_20534	478	738	37	84
PROKKA_20535	536	894	60	112
PROKKA_20536	252	577	110	73
PROKKA_20537	48	71	6	6
PROKKA_20538	51	107	26	60
PROKKA_20539	1043	1809	1562	1792
PROKKA_20540	827	1431	618	629
PROKKA_20541	60	77	20	33
PROKKA_20542	69	174	46	80
PROKKA_20543	343	756	148	166
PROKKA_20544	119	165	62	86
PROKKA_20545	434	756	214	471
PROKKA_20546	7917	15878	23006	29936
PROKKA_20547	5031	8988	3567	4771
PROKKA_20548	719	1225	606	722
PROKKA_20549	363	628	290	507
PROKKA_20550	7	6	8	20
PROKKA_20551	50	63	32	35
PROKKA_20552	55	101	15	22
PROKKA_20553	30	41	5	6
PROKKA_20554	24	51	7	13
PROKKA_20556	35	47	29	56
PROKKA_20557	30	40	14	19
PROKKA_20558	29	49	32	52
PROKKA_20559	8	17	8	13
PROKKA_20560	30	23	14	14
PROKKA_20561	5	9	12	10
PROKKA_20562	53	68	18	20
PROKKA_20563	196	376	21	37
PROKKA_20564	334	551	75	101
PROKKA_20565	45	68	9	16
PROKKA_20566	234	432	45	67
PROKKA_20567	500	856	147	187
PROKKA_20568	293	411	111	163
PROKKA_20569	326	570	108	277
PROKKA_20570	189	400	114	126
PROKKA_20571	84	103	16	30
PROKKA_20572	1195	2580	1223	640
PROKKA_20573	138	218	39	51
PROKKA_20574	133	216	61	139
PROKKA_20575	130	129	27	90
PROKKA_20576	519	994	218	131
PROKKA_20577	317	477	112	134
PROKKA_20578	149	199	39	64
PROKKA_20579	417	771	235	242
PROKKA_20580	225	459	129	113
PROKKA_20581	798	1383	181	208
PROKKA_20582	886	1863	409	232
PROKKA_20583	128	179	13	27
PROKKA_20584	45	56	9	12
PROKKA_20585	455	828	82	226
PROKKA_20586	103	164	31	66
PROKKA_20587	199	401	69	184
PROKKA_20588	906	1443	452	751
PROKKA_20589	711	1268	245	291
PROKKA_20590	15	24	7	13
PROKKA_20591	140	180	31	99
