scaffold1,scaffold2,connections
113683,17311,2
1650,52293,2
125113,2409,31
113823,17530,7
2134,4356,2
2625,5484,2
12107,35900,4
25709,31946,19
25045,8694,2
21381,9984,2
46190,56232,11
291,3305,6
72463,789,11
12414,5728,84
11138,279,128
11893,38336,4
16007,23171,2
67482,88868,2
16328,37417,3
15722,83895,6
25619,3357,2
70760,9265,4
15631,68050,9
1418,3447,6
18987,39176,2
3287,667,10
40444,64925,8
2086,2284,2
11739,15093,2
67975,9369,11
10346,73278,2
129,3150,2
34085,74482,16
13,16785,25
50785,55775,6
29944,9395,38
1812,82444,3
36274,44699,3
35576,49574,2
103311,5718,2
1472,886,2
45067,4518,4
35295,42364,4
166,20381,2
133,197,12
180,492,2
140,1547,3
11894,588,2
15736,94224,8
35676,38274,3
53425,9197,2
118945,89312,3
13022,2521,4
132900,6693,6
141,297,2
1083,16275,5
28334,67123,2
31195,4713,27
611,69577,26
129,69676,107
103609,67616,3
12608,185,2
8114,8134,2
15577,9598,3
104075,18317,20
124541,39,5
12795,37666,2
114502,67046,12
25059,9961,3
17530,64557,19
10841,21955,2
1464,79820,3
42734,59386,4
180,361,39
1104,26788,2
2190,7392,2
16554,8758,2
118944,12532,3
32281,6886,4
19487,20257,4
103313,104076,3
3447,81,12
28223,69267,4
12938,793,5
62644,93133,2
1930,1985,2
31883,3190,3
41647,4761,2
134283,75674,2
110030,16780,2
6113,87863,6
26141,95075,8
175,1917,3
14044,23798,2
113683,35336,2
36388,91042,14
47197,6886,4
24367,7837,4
111997,39890,2
104080,105726,3
3578,80265,2
3520,4835,3
120406,30329,2
1394,1462,3
16297,40093,16
88070,942,17
12414,37660,71
1118,984,11
115027,490,3
11456,12541,12
33761,69124,2
126562,16328,9
13102,69203,3
39791,92402,6
13905,85945,7
52399,5853,3
126773,23565,4
1214,951,2
122526,7745,6
21431,464,2
18387,5765,9
1300,1673,8
10135,5597,7
7710,9047,9
123551,55773,11
14461,1629,7
21511,4129,5
16834,7769,2
16150,17939,2
124,72,2
1200,15671,8
10998,31750,8
14524,90817,3
104377,67246,2
1878,67,9
16924,66675,2
53850,8144,2
131154,4796,2
1366,6026,16
111996,67844,4
2039,4824,2
37357,77122,2
16,389,4
3515,66524,4
123752,9998,4
107730,84983,3
12638,13036,2
65990,698,3
123942,33280,7
121,72,3
106025,30327,8
10543,23811,2
2290,78767,3
86055,9375,6
19492,56058,2
55937,662,9
45207,99209,2
12596,39665,3
15414,18063,2
14822,40981,6
113985,1789,10
14932,30654,11
6700,7567,3
17701,54008,42
61380,71298,2
1720,81236,8
10343,5148,6
1161,67769,6
14153,67324,10
14306,14306,8
18734,38932,2
5920,6039,8
15850,2768,7
17096,77529,4
105,853,6
37749,56868,2
30652,42364,16
1511,1529,8
15072,4190,3
134700,76942,30
3056,37897,2
5179,681,17
55516,63099,5
126146,55896,2
10223,32957,2
33811,58340,6
152,19342,108
180,55937,136
115,569,3
10015,40389,2
30139,51424,4
130112,72779,3
12167,8124,2
15414,3779,8
30976,3406,2
25492,37357,4
17523,17523,5
32957,6886,3
19095,91043,7
13638,28800,2
13720,83704,2
388,646,6
303,437,18
41814,57026,16
131156,65,2
25224,30810,4
105278,73645,3
53426,94099,2
38132,39567,3
14066,88187,12
3012,54748,2
14271,17594,3
1944,466,2
1935,44555,2
27997,62339,2
12175,19991,4
17917,28800,2
100169,10367,3
60399,93135,3
35038,62898,2
1071,76835,2
1348,626,7
17530,32299,13
87645,9961,2
23429,5942,2
28873,6946,2
115027,14977,2
13160,31604,106
87192,99884,7
1525,47762,2
2266,600,9
113503,41556,2
31659,61090,9
6318,7678,2
36083,4413,2
43750,78213,2
126562,24539,17
2642,38830,3
107,43,15
54225,9323,2
10561,134022,3
11940,87763,11
119693,33435,2
104539,76649,40
56781,67046,10
57030,5875,2
16746,17377,5
1285,564,2
16328,25948,2
2931,57724,13
266,86964,33
6806,8504,8
17844,45354,2
20597,67554,4
1106,4651,9
35038,68927,3
47,74828,20
114502,52876,44
3952,40116,7
176,492,2
106994,16002,2
59448,939,7
112505,1134,3
192,886,3
4994,67616,6
87951,9293,3
10058,3592,3
127981,38908,2
12364,97512,7
29096,9781,6
473,74646,8
129450,51461,2
67554,8376,5
24133,2868,4
26215,4304,2
76299,952,2
3275,73944,5
16170,481,15
2073,2317,3
132434,52456,6
1002,79526,115
4231,94562,8
25803,70516,8
21734,68536,3
1166,2654,2
488,67848,3
27773,63444,5
5100,72463,29
118425,33177,4
38761,90811,2
2375,295,3
46524,5556,2
77529,9178,5
